GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
1000000US484230010003003,484230010003003,"Block 3003, Block Group 3, Census Tract 10, Smith County, Texas",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230010003004,484230010003004,"Block 3004, Block Group 3, Census Tract 10, Smith County, Texas",17,10,0,1,0,0,1,0,1,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0
1000000US484230010003005,484230010003005,"Block 3005, Block Group 3, Census Tract 10, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230010003006,484230010003006,"Block 3006, Block Group 3, Census Tract 10, Smith County, Texas",9,4,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1000000US484230010003007,484230010003007,"Block 3007, Block Group 3, Census Tract 10, Smith County, Texas",50,29,5,2,3,1,0,0,0,1,6,1,1,2,0,3,2,1,0,0,0,0,1,0,0,21,1,2,2,1,0,0,0,2,2,3,1,0,0,0,3,1,0,1,0,1,0,0,1
1000000US484230010003008,484230010003008,"Block 3008, Block Group 3, Census Tract 10, Smith County, Texas",29,13,0,0,1,1,1,1,1,0,0,1,0,1,1,2,0,0,1,0,0,0,1,0,1,16,1,0,1,1,0,0,0,0,1,0,0,3,0,1,2,1,2,0,1,1,0,0,1
1000000US484230010003009,484230010003009,"Block 3009, Block Group 3, Census Tract 10, Smith County, Texas",48,26,3,1,2,1,0,1,0,0,1,5,3,4,1,4,0,0,0,0,0,0,0,0,0,22,2,1,1,1,1,0,0,2,2,3,0,1,4,2,0,0,0,1,0,0,1,0,0
1000000US484230010003010,484230010003010,"Block 3010, Block Group 3, Census Tract 10, Smith County, Texas",41,21,1,1,4,1,2,0,0,1,1,4,1,0,2,1,1,0,0,0,0,0,0,1,0,20,1,3,1,0,0,0,1,1,1,2,0,2,2,0,2,1,0,0,1,2,0,0,0
1000000US484230010003011,484230010003011,"Block 3011, Block Group 3, Census Tract 10, Smith County, Texas",49,20,2,0,0,0,1,1,0,0,1,3,1,3,0,1,2,1,0,1,1,2,0,0,0,29,1,1,1,2,3,2,0,0,1,3,0,1,0,2,3,0,1,4,1,2,0,0,1
1000000US484230010003012,484230010003012,"Block 3012, Block Group 3, Census Tract 10, Smith County, Texas",46,21,2,2,2,0,2,1,0,1,0,2,2,0,3,0,1,0,0,0,1,1,0,1,0,25,0,1,2,3,0,0,0,1,2,1,2,5,2,1,1,1,0,2,0,0,0,1,0
1000000US484230010003013,484230010003013,"Block 3013, Block Group 3, Census Tract 10, Smith County, Texas",148,47,0,2,3,1,0,0,1,1,2,6,1,2,4,3,3,1,0,1,3,2,4,2,5,101,0,3,2,0,1,0,0,2,1,1,2,6,2,7,5,2,8,1,0,6,7,14,31
1000000US484230010003014,484230010003014,"Block 3014, Block Group 3, Census Tract 10, Smith County, Texas",61,29,1,3,3,2,2,0,1,2,3,0,1,5,2,1,1,0,0,0,0,1,0,1,0,32,3,1,7,1,0,0,1,2,3,2,3,2,2,1,1,1,0,0,1,0,0,1,0
1000000US484230010003015,484230010003015,"Block 3015, Block Group 3, Census Tract 10, Smith County, Texas",77,30,1,5,0,1,1,0,0,2,2,3,2,3,3,4,1,0,0,1,1,0,0,0,0,47,2,5,8,2,0,1,0,2,3,3,3,6,7,1,1,0,0,0,2,1,0,0,0
1000000US484230010004000,484230010004000,"Block 4000, Block Group 4, Census Tract 10, Smith County, Texas",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1000000US484230010004001,484230010004001,"Block 4001, Block Group 4, Census Tract 10, Smith County, Texas",51,26,2,3,3,1,0,0,1,1,0,0,0,3,3,2,3,0,0,0,0,1,1,1,1,25,1,3,1,2,0,0,0,0,0,1,3,3,0,5,1,0,0,0,0,1,0,3,1
1000000US484230010004002,484230010004002,"Block 4002, Block Group 4, Census Tract 10, Smith County, Texas",30,13,1,0,1,0,0,0,0,1,2,1,0,0,0,2,0,1,0,1,2,0,1,0,0,17,0,3,1,0,0,0,0,0,3,1,0,0,1,2,0,0,1,1,1,1,1,0,1
1000000US484230010004003,484230010004003,"Block 4003, Block Group 4, Census Tract 10, Smith County, Texas",17,7,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,2,0,0,1,0,0,1
1000000US484230010004004,484230010004004,"Block 4004, Block Group 4, Census Tract 10, Smith County, Texas",15,6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,0,1,0
1000000US484230010004005,484230010004005,"Block 4005, Block Group 4, Census Tract 10, Smith County, Texas",18,9,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,1,0,1,0
1000000US484230010004006,484230010004006,"Block 4006, Block Group 4, Census Tract 10, Smith County, Texas",29,15,0,1,0,1,0,0,0,2,1,2,0,1,0,1,1,1,1,0,1,0,1,0,1,14,1,0,1,0,0,0,0,0,0,2,1,0,1,1,1,0,1,0,0,3,0,1,1
1000000US484230010004007,484230010004007,"Block 4007, Block Group 4, Census Tract 10, Smith County, Texas",45,19,1,1,1,0,1,0,0,0,1,2,2,1,0,2,2,0,0,1,0,2,1,1,0,26,2,2,0,1,1,0,0,0,1,2,0,3,0,2,4,0,0,1,3,0,2,1,1
1000000US484230010004008,484230010004008,"Block 4008, Block Group 4, Census Tract 10, Smith County, Texas",74,34,3,1,0,1,0,2,0,1,4,0,2,0,2,3,2,0,2,1,2,3,1,0,4,40,2,0,0,2,0,0,1,3,3,1,0,0,1,4,4,2,2,0,4,2,1,5,3
1000000US484230010004009,484230010004009,"Block 4009, Block Group 4, Census Tract 10, Smith County, Texas",9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1
1000000US484230010004010,484230010004010,"Block 4010, Block Group 4, Census Tract 10, Smith County, Texas",35,20,0,2,1,1,0,1,0,0,3,3,3,1,1,0,0,1,2,0,0,0,1,0,0,15,1,0,0,0,0,0,0,1,2,0,3,0,0,3,2,1,0,0,0,1,0,1,0
1000000US484230010004011,484230010004011,"Block 4011, Block Group 4, Census Tract 10, Smith County, Texas",24,11,3,0,1,2,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,13,1,0,1,0,0,0,0,0,1,2,2,0,0,2,0,1,1,0,0,0,0,1,1
1000000US484230010004012,484230010004012,"Block 4012, Block Group 4, Census Tract 10, Smith County, Texas",57,28,3,1,2,0,1,0,0,0,2,2,2,0,2,2,2,2,0,0,1,2,3,1,0,29,1,0,2,1,1,0,0,1,1,2,1,1,6,1,0,0,1,0,2,2,2,3,1
1000000US484230010004013,484230010004013,"Block 4013, Block Group 4, Census Tract 10, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230010004014,484230010004014,"Block 4014, Block Group 4, Census Tract 10, Smith County, Texas",238,112,7,6,5,7,1,0,1,5,8,4,5,5,7,9,11,1,7,2,6,5,3,3,4,126,8,10,6,4,4,1,0,1,10,9,3,5,8,8,8,2,10,5,7,5,6,5,1
1000000US484230010004015,484230010004015,"Block 4015, Block Group 4, Census Tract 10, Smith County, Texas",33,13,2,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,1,1,0,1,1,1,0,20,0,0,2,0,1,0,0,0,0,1,0,1,1,4,3,1,0,0,1,2,3,0,0
1000000US484230010004016,484230010004016,"Block 4016, Block Group 4, Census Tract 10, Smith County, Texas",14,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,8,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0
1000000US484230010004017,484230010004017,"Block 4017, Block Group 4, Census Tract 10, Smith County, Texas",40,18,1,0,0,0,0,0,0,2,3,1,0,0,0,1,2,3,3,0,1,0,1,0,0,22,5,0,1,0,0,0,0,1,1,0,0,1,0,2,2,3,3,0,0,1,0,1,1
1000000US484230010004018,484230010004018,"Block 4018, Block Group 4, Census Tract 10, Smith County, Texas",25,10,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,15,0,0,0,0,0,1,0,0,0,0,0,2,1,0,5,1,1,0,1,0,2,1,0
1000000US484230010004019,484230010004019,"Block 4019, Block Group 4, Census Tract 10, Smith County, Texas",32,12,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,2,1,1,20,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,5,1,3,2,2,1
1000000US484230010004020,484230010004020,"Block 4020, Block Group 4, Census Tract 10, Smith County, Texas",45,22,0,3,3,1,0,0,0,0,1,1,1,3,1,2,1,0,0,0,0,1,2,2,0,23,0,3,1,1,0,0,0,1,3,2,2,1,1,1,1,0,0,0,0,3,2,0,1
1000000US484230010004021,484230010004021,"Block 4021, Block Group 4, Census Tract 10, Smith County, Texas",45,21,0,2,3,1,0,0,0,1,1,2,5,1,0,0,2,0,1,1,0,1,0,0,0,24,1,3,1,0,2,1,0,0,1,4,2,2,1,0,0,1,1,1,1,2,0,0,0
1000000US484230010004022,484230010004022,"Block 4022, Block Group 4, Census Tract 10, Smith County, Texas",38,17,2,1,0,1,0,0,1,1,1,2,1,1,0,1,0,0,0,0,1,1,0,2,1,21,0,1,0,0,0,0,1,1,0,0,3,1,1,2,0,0,1,0,3,3,1,1,2
1000000US484230010004023,484230010004023,"Block 4023, Block Group 4, Census Tract 10, Smith County, Texas",60,31,0,1,2,2,0,0,1,1,2,1,2,0,2,4,2,0,3,2,0,3,2,1,0,29,1,2,0,1,0,0,0,2,1,2,1,0,0,3,5,1,1,2,2,2,2,1,0
1000000US484230010004024,484230010004024,"Block 4024, Block Group 4, Census Tract 10, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230010004025,484230010004025,"Block 4025, Block Group 4, Census Tract 10, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230010004026,484230010004026,"Block 4026, Block Group 4, Census Tract 10, Smith County, Texas",15,6,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,1,0,0,0,1
1000000US484230010004027,484230010004027,"Block 4027, Block Group 4, Census Tract 10, Smith County, Texas",17,6,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,11,0,0,1,0,2,0,0,0,0,0,0,1,2,0,1,0,1,0,0,2,0,0,1
1000000US484230010004028,484230010004028,"Block 4028, Block Group 4, Census Tract 10, Smith County, Texas",20,12,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,1,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,1,0,0,0
1000000US484230010004029,484230010004029,"Block 4029, Block Group 4, Census Tract 10, Smith County, Texas",28,10,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,2,0,1,18,1,1,2,2,0,0,0,1,4,1,1,0,1,1,0,0,0,1,0,2,0,0,0
1000000US484230010004030,484230010004030,"Block 4030, Block Group 4, Census Tract 10, Smith County, Texas",43,25,4,0,3,1,1,1,1,1,3,3,3,1,1,2,0,0,0,0,0,0,0,0,0,18,4,1,3,0,0,0,0,0,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0
1000000US484230010004031,484230010004031,"Block 4031, Block Group 4, Census Tract 10, Smith County, Texas",38,18,2,0,3,0,1,1,0,0,2,1,1,1,1,0,0,0,1,0,0,2,2,0,0,20,0,1,2,1,0,1,0,0,2,2,3,0,2,0,2,0,0,0,1,2,1,0,0
1000000US484230010004032,484230010004032,"Block 4032, Block Group 4, Census Tract 10, Smith County, Texas",14,9,1,1,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1000000US484230010004033,484230010004033,"Block 4033, Block Group 4, Census Tract 10, Smith County, Texas",93,46,5,2,4,2,1,1,1,3,3,1,4,4,4,2,3,1,0,1,0,1,1,1,1,47,2,2,2,1,2,0,0,2,3,4,3,3,4,2,5,0,0,1,0,2,6,2,1
1000000US484230010004034,484230010004034,"Block 4034, Block Group 4, Census Tract 10, Smith County, Texas",44,21,2,1,1,1,0,1,0,0,5,1,1,1,1,1,3,0,0,0,0,0,0,2,0,23,2,3,0,0,0,0,2,2,2,1,1,1,0,2,2,0,1,0,0,2,0,0,2
1000000US484230010005000,484230010005000,"Block 5000, Block Group 5, Census Tract 10, Smith County, Texas",28,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,3,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,5,2,3
1000000US484230010005001,484230010005001,"Block 5001, Block Group 5, Census Tract 10, Smith County, Texas",61,19,2,1,0,0,0,0,0,0,1,1,1,4,0,0,2,1,0,0,1,3,1,1,0,42,2,4,4,3,0,0,0,0,2,2,4,1,0,1,2,2,1,1,1,4,0,5,3
